axis,weighting,comparison,auc,positive_mean,negative_mean,mean_difference,positive_scores,negative_scores
mature,sign_only,blastema_HI,1.0,0.052667577694913294,-0.20077091864055557,0.2534384963354689,0.019455406|0.088664|0.072870759|0.029680146,-0.22619426|-0.17932038|-0.16714889|-0.23042014
mature,sign_only,blastema_LOW,1.0,-0.049444995618270676,-0.19711211016471913,0.14766711454644846,-0.12184222|0.050593057|0.0070537882|-0.13358461,-0.19682617|-0.17490582|-0.22028092|-0.19643553
mature,sign_only,Hand2,1.0,0.12730146887090224,-0.0358970048437931,0.16319847371469534,0.18021183|0.037156187|0.16453639,-0.046905562|-0.024888447
mature,sign_only,AtoP,0.75,-0.010506334612349934,-0.1312802747955855,0.12077394018323556,0.073486559|-0.094499229,-0.224281|-0.038279546
mature,effect_weighted,blastema_HI,1.0,0.10282223770463333,-0.18730300906233113,0.2901252467669645,0.054730025|0.13624418|0.12784209|0.092472656,-0.19705709|-0.16871428|-0.153152|-0.23028867
mature,effect_weighted,blastema_LOW,1.0,0.022199059284448985,-0.17797433640701582,0.2001733956914648,-0.054463556|0.11918314|0.08301225|-0.058935601,-0.16760781|-0.16375937|-0.20059248|-0.17993769
mature,effect_weighted,Hand2,1.0,0.19052320299233916,0.00021168619763247635,0.19031151679470668,0.2224688|0.099757934|0.24934287,0.012703103|-0.01227973
mature,effect_weighted,AtoP,0.75,0.05766896507477917,-0.11961434584025914,0.1772833109150383,0.14693229|-0.031594363,-0.22278578|-0.016442915
acute_HI,sign_only,blastema_LOW,1.0,0.7149188352928827,-0.7437476167705035,1.4586664520633863,0.68399827|0.78663418|0.71009025|0.67895263,-0.76224196|-0.69519929|-0.63962831|-0.87792091
acute_HI,sign_only,Hand2,0.5,0.05411952183184641,-0.055370584206290895,0.1094901060381373,0.40129552|-0.079368419|-0.15956853,-0.082534457|-0.028206712
acute_HI,sign_only,AtoP,1.0,0.47421801761635374,-0.4336964327980244,0.9079144504143781,0.33558249|0.61285354,-0.45420639|-0.41318648
acute_HI,effect_weighted,blastema_LOW,1.0,0.8562331561974958,-0.7481511473993399,1.6043843035968357,0.87822902|0.83352722|0.82214622|0.89103016,-0.86594784|-0.65111404|-0.6124278|-0.86311492
acute_HI,effect_weighted,Hand2,0.3333333333333333,0.22036048743453204,0.3382293022897055,-0.11786881485517345,0.57107129|0.12562307|-0.035612903,0.34667837|0.32978024
acute_HI,effect_weighted,AtoP,1.0,0.8383392528897875,0.019239394818447882,0.8190998580713397,0.72370537|0.95297314,-0.047576044|0.086054833
