axis,weighting,comparison,auc,exact_one_sided_p,number_exact_partitions,positive_mean,negative_mean,mean_difference,positive_scores,negative_scores
mature,sign_only,blastema_HI,1.0,0.014285714285714285,70,0.05266757769491332,-0.2007709186405556,0.25343849633546894,0.0194554063|0.0886639996|0.0728707588|0.029680146,-0.226194258|-0.179320383|-0.167148893|-0.230420141
mature,sign_only,blastema_LOW,1.0,0.014285714285714285,70,-0.04944499561827064,-0.1971121101647192,0.14766711454644854,-0.121842218|0.0505930568|0.00705378823|-0.133584609,-0.196826172|-0.17490582|-0.220280918|-0.196435531
mature,sign_only,Hand2,1.0,0.1,10,0.12730146887090218,-0.03589700484379303,0.1631984737146952,0.180211829|0.0371561866|0.164536391,-0.0469055622|-0.0248884475
mature,sign_only,AtoP,0.75,0.3333333333333333,6,-0.010506334612349809,-0.13128027479558546,0.12077394018323565,0.0734865594|-0.0944992286,-0.224281004|-0.0382795456
mature,effect_weighted,blastema_HI,1.0,0.014285714285714285,70,0.10282223770463336,-0.18730300906233108,0.29012524676696444,0.0547300247|0.136244183|0.127842087|0.0924726562,-0.197057087|-0.168714281|-0.153152002|-0.230288666
mature,effect_weighted,blastema_LOW,1.0,0.014285714285714285,70,0.022199059284448874,-0.17797433640701577,0.20017339569146464,-0.0544635557|0.119183144|0.0830122503|-0.0589356015,-0.167607813|-0.163759365|-0.200592476|-0.179937692
mature,effect_weighted,Hand2,1.0,0.1,10,0.19052320299233919,0.00021168619763244426,0.19031151679470673,0.222468804|0.099757934|0.249342871,0.0127031026|-0.0122797302
mature,effect_weighted,AtoP,0.75,0.3333333333333333,6,0.05766896507477934,-0.11961434584025912,0.17728331091503846,0.146932294|-0.0315943634,-0.222785777|-0.0164429145
acute_HI,sign_only,blastema_LOW,1.0,0.014285714285714285,70,0.7149188352928827,-0.7437476167705035,1.4586664520633863,0.683998271|0.786634184|0.710090253|0.678952634,-0.762241963|-0.695199291|-0.639628305|-0.877920908
acute_HI,sign_only,Hand2,0.5,0.5,10,0.05411952183184641,-0.055370584206290895,0.1094901060381373,0.401295517|-0.0793684192|-0.159568532,-0.0825344566|-0.0282067118
acute_HI,sign_only,AtoP,1.0,0.16666666666666666,6,0.47421801761635374,-0.4336964327980244,0.9079144504143781,0.335582492|0.612853544,-0.454206388|-0.413186477
acute_HI,effect_weighted,blastema_LOW,1.0,0.014285714285714285,70,0.8562331561974964,-0.7481511473993396,1.6043843035968361,0.87822902|0.833527221|0.822146222|0.891030162,-0.865947837|-0.651114041|-0.612427796|-0.863114915
acute_HI,effect_weighted,Hand2,0.3333333333333333,0.7,10,0.22036048743453215,0.33822930228970544,-0.11786881485517328,0.571071295|0.125623071|-0.035612903,0.346678366|0.329780239
acute_HI,effect_weighted,AtoP,1.0,0.16666666666666666,6,0.838339252889788,0.019239394818447983,0.81909985807134,0.72370537|0.952973136,-0.0475760436|0.0860548332
