gene_id,direction,mature_log2FC_P_minus_A,mature_mean_logCPM,gene_symbol,author_log2FC,author_padj
AMEX60DD045298,posterior_up,3.330736958875072,5.538676155851032,HAND2,3.443650825,2.94e-140
AMEX60DD008884,posterior_up,3.328807615675629,1.9914879950726372,CYP2A13,5.468803172,3.82e-11
AMEX60DD012132,posterior_up,3.1725337087978787,6.389304132644671,GREM1,3.25094095,1.05e-86
AMEX60DD052276,posterior_up,2.99952948180492,3.1421753995686403,LOC112113698,3.308852757,5.38e-07
AMEX60DD055612,posterior_up,2.986794549466152,2.4196175140229137,HOXD13,3.95867925,2.74e-14
AMEX60DD004446,posterior_up,2.474651857737272,6.525602470606314,MUC5B,2.407111469,0.002019005
AMEX60DD008878,posterior_up,2.374645872716753,2.648045507853284,TAFA2,2.850442859,4.34e-07
AMEX60DD056319,posterior_up,2.28427937550082,1.4808080670601445,PRKAG3,4.333120688,1.25e-06
AMEX60DD029166,posterior_up,2.261885412166025,4.8938013655251416,EMP1,2.373880007,2.94e-34
AMEX60DD018697,posterior_up,2.23083327905098,2.829807152591476,F13B,2.691494518,2.47e-09
AMEX60DD026746,posterior_up,2.1203535794528645,2.546239049152128,A2ML1,2.673499615,2.57e-07
AMEX60DD002999,posterior_up,2.073984159917643,4.003464829125943,EBF2,2.23459173,5.49e-14
AMEX60DDU001010640,posterior_up,2.0220778898500877,2.326623883183233,COL11A1,2.5619916,0.000248235
AMEX60DD011094,posterior_up,2.0111585284235423,4.3625048859623305,TNFAIP2,2.146399177,9.13e-23
AMEX60DD049312,posterior_up,1.9713369203525883,2.159828723940729,SHISA2,2.676956723,4.6e-05
AMEX60DD014985,posterior_up,1.9553135336796768,2.9904281052554182,LOC115077151,2.262911089,3.54e-06
AMEX60DD047161,posterior_up,1.9365497550250936,1.585112879640427,PCP4,3.207392341,0.008536455
AMEX60DD054625,posterior_up,1.91838354686218,3.977113451132386,TBX2,2.088070732,2.81e-14
AMEX60DD008883,posterior_up,1.846911669142264,5.233894935986569,CYP2A13,1.900175408,5.55e-11
AMEX60DD040289,posterior_up,1.8037010273713652,4.685867479598386,ANGPT1,1.916553777,3.74e-12
AMEX60DD002023,posterior_up,1.8030999568247128,2.239846517014291,PROS1,2.445814515,0.000772169
AMEX60DD049637,posterior_up,1.801274581970282,4.840403697276294,PRSS23,1.909873615,1.14e-13
AMEX60DD038192,posterior_up,1.777608383735954,2.20050951216269,KRT19,2.343686642,8.95e-05
AMEX60DD000084,posterior_up,1.707622225736471,4.953732910773182,ADGRD1,1.720598828,3.63e-05
AMEX60DD038184,posterior_up,1.6926357267876178,6.662660073958696,KRT19,1.738820823,5.03e-26
AMEX60DD035993,posterior_up,1.6899376567700068,3.871837481008829,KCNG3,1.787752341,8.08e-06
AMEX60DD022420,posterior_up,1.643172942380966,3.2601009006279247,NEBL,1.821173488,0.000188816
AMEX60DD047972,posterior_up,1.6065304027722922,1.3499115201108394,SCML2,2.934457254,0.005822033
AMEX60DD025264,posterior_up,1.6032005479748426,1.6963500536706548,LOC106737871,2.463044341,0.000553305
AMEX60DD047404,posterior_up,1.5973988004803408,4.436816972838431,ADAMTS5,1.72120583,1.47e-06
AMEX60DD014849,posterior_up,1.5930771185793775,5.987295420421939,THBS3,1.653942957,1.09e-12
AMEX60DD007394,posterior_up,1.5748256195111514,4.09804797968461,CTSS,1.760717315,0.009732573
AMEX60DD029423,posterior_up,1.564822982081845,1.5158302333801204,ZNF300,2.597669876,0.002851024
AMEX60DD013815,posterior_up,1.5416872200518987,1.4986598902251989,HSD11B1L,2.678793596,0.009732573
AMEX60DD029823,posterior_up,1.5280099885635083,6.673704083934499,KRT5,1.575341882,6.66e-12
AMEX60DD021953,posterior_up,1.515313975089286,2.250624406690832,HOXA13,1.994431727,0.002002959
AMEX60DD053266,posterior_up,1.511628701044009,4.629523571406221,RGS10,1.549312447,3.57e-05
AMEX60DD034453,posterior_up,1.4804090880142489,1.287324441684663,MRPS5,2.748004099,0.009320242
AMEX60DD024603,posterior_up,1.4694828202489292,1.6150343337391688,SERTAD2,2.30865129,0.005561208
AMEX60DD045295,posterior_up,1.4647095226443376,4.561436744784556,SCRG1,1.563050079,2.8e-09
AMEX60DD028768,posterior_up,1.4622459783924604,1.2806777802783054,DRD1,2.722356246,0.005373793
AMEX60DD024084,posterior_up,1.4484095349780368,5.823421826268644,SEMA3G,1.517732593,4.89e-08
AMEX60DD026180,posterior_up,1.443829082915788,2.630320272153763,ASIC1,1.815753594,0.007036714
AMEX60DD008176,posterior_up,1.4436903358913615,1.625741185891591,CPM,2.266421047,0.006434408
AMEX60DD031409,posterior_up,1.4404909198420248,3.046119127955669,C1QTNF1,1.675935524,0.00525589
AMEX60DD036951,posterior_up,1.4200932698409634,3.2420467056164743,ARHGAP20,1.643421253,0.000377008
AMEX60DD006238,posterior_up,1.4167006908803668,4.420137636839169,SEMA3E,1.466383395,0.000204097
AMEX60DD037078,posterior_up,1.4026712787669489,3.881997861788917,FGF16,1.524575089,3.41e-06
AMEX60DD017064,posterior_up,1.397153697853133,5.344372735985396,LOC102363937,1.41888493,7.76e-06
AMEX60DD053027,posterior_up,1.3835982388733186,6.808294169386861,COL17A1,1.425025615,1.85e-14
AMEX60DD045942,posterior_up,1.370982271613955,4.126307900986351,AFAP1,1.549570254,0.003123677
AMEX60DD032906,posterior_up,1.2540600732354663,3.0740234572396625,CYP2J2,1.453293329,0.002519015
AMEX60DD018728,anterior_up,-3.976874618622164,1.9884373093110816,LHX9,-12.15935289,3.99e-18
AMEX60DD007691,anterior_up,-3.794204415248748,4.533047238216255,ALX1,-3.879454882,4.47e-19
AMEX60DD029496,anterior_up,-3.3582651460863664,1.687315323650331,HOXC10,-10.51461044,8.53e-13
AMEX60DD018240,anterior_up,-3.2103922901512005,2.9589349416022226,PAPPA2,-3.694423657,6.58e-07
AMEX60DD045837,anterior_up,-2.9837723753506338,4.931924251462632,C1QTNF7,-3.058125714,1.4e-27
AMEX60DD048418,anterior_up,-2.8490115400482887,1.4245057700241444,LOC115076842,-11.18475886,1.52e-11
AMEX60DD007681,anterior_up,-2.8123539581381625,2.734332552313096,NTS,-3.250143164,7.96e-05
AMEX60DD017769,anterior_up,-2.671929301430572,4.079480336421603,SLC6A2,-2.838572615,7.86e-15
AMEX60DD029497,anterior_up,-2.5399109635422814,2.488485847350768,HOXC6,-3.133002508,3.5e-06
AMEX60DD040394,anterior_up,-2.5099874148311,6.25834374159901,ENPP2,-2.507817369,1.94e-33
AMEX60DD048805,anterior_up,-2.437933460722461,2.6067373106071234,EDNRB,-2.849205465,0.00052059
AMEX60DD000424,anterior_up,-2.179935633227842,1.7183711288895545,E1301-TTI003913,-3.420087065,7.76e-06
AMEX60DD019770,anterior_up,-2.148871517602985,4.613319242544559,LOC115099908,-2.210020809,1.11e-14
AMEX60DD004221,anterior_up,-2.102375933290695,2.00579220323318,MEGF11,-2.813602036,0.006118769
AMEX60DD050555,anterior_up,-2.031211332501316,3.820221389042184,LHX2,-2.165270948,1.84e-10
AMEX60DD013358,anterior_up,-1.932018094965248,2.955462997533892,PER1,-2.233125923,2.85e-07
AMEX60DD053102,anterior_up,-1.9292441166767844,2.02464913763772,ADRA2A,-2.56100687,0.009732573
AMEX60DD036390,anterior_up,-1.92562250727471,4.4121719553308445,MDGA1,-2.027373767,1.08e-11
AMEX60DD034577,anterior_up,-1.9171689638143672,6.28070406431898,SMOC2,-1.922237066,6.23e-28
AMEX60DD028693,anterior_up,-1.891701780630166,5.521996380818022,VSTM2L,-1.884959595,2.43e-07
AMEX60DD000888,anterior_up,-1.8911796868052864,3.847368218597937,MN1,-2.026388821,2.82e-11
AMEX60DD043119,anterior_up,-1.8585925338061131,4.503118084895704,DMRT2,-1.822852985,0.000289273
AMEX60DD037579,anterior_up,-1.845910055350828,4.198892246450358,TBX22,-1.940600339,6.85e-11
AMEX60DD043069,anterior_up,-1.8182024982887857,4.541311106012192,DAPK1,-1.814804171,3.05e-05
AMEX60DD034707,anterior_up,-1.7961985771903195,3.746658493180976,RSPO3,-1.822443452,0.003719018
AMEX60DD002138,anterior_up,-1.7760393251056232,4.857781786024776,EPHA4,-1.822645064,2.55e-16
AMEX60DD007682,anterior_up,-1.6570477420901737,2.566141381703931,RASSF9,-1.960485902,0.005637424
AMEX60DD023996,anterior_up,-1.6488423659733935,2.219621417567057,LOC108704014,-2.142533559,0.008031853
AMEX60DD046302,anterior_up,-1.645187063520646,3.293822282973744,EGR4,-1.833383622,7.78e-05
AMEX60DD023676,anterior_up,-1.6350782057845483,3.0791601078572866,BARX1,-1.839653003,0.000153988
AMEX60DD003526,anterior_up,-1.6259444241736718,7.359671366772922,ALDH1A3,-1.604185396,2.24e-16
AMEX60DD054129,anterior_up,-1.612818060366873,2.8038917993713683,DHRS11,-1.874988479,0.00035971
AMEX60DD018273,anterior_up,-1.5766909339516977,9.293700726578257,PRDX6,-1.573974711,1.57e-15
