condition,replicate,depth,caudal_signature_score
unc,rep1,30K,-0.4118317573468571
prox,rep1,30K,0.7644772182011677
dist,rep1,30K,0.08314303647546818
unc,rep2,30K,-0.2972207598947042
prox,rep2,30K,0.18887808638887688
dist,rep2,30K,-0.11216673544633485
unc,rep3,30K,-0.5712834831080844
prox,rep3,30K,0.4555005834843147
dist,rep3,30K,-0.09949618875384597
unc,rep1,50K,-0.3753727714753952
prox,rep1,50K,0.6365671509192403
dist,rep1,50K,0.11455474189493386
unc,rep2,50K,-0.31041878056869904
prox,rep2,50K,0.20940591672153056
dist,rep2,50K,0.013158872785531623
unc,rep3,50K,-0.6469987118385419
prox,rep3,50K,0.5711358332304743
dist,rep3,50K,-0.21203225166907436
