condition,replicate,depth,file,input_cells,retained_cells,mito_cut,feature_low,feature_high
unc,rep1,30K,GSM8121289_L46866.h5,2169,1789,18.53778514704279,572.8327711335465,2761.890762888178
unc,rep1,50K,GSM8121290_L46866-1.h5,2707,2276,18.702222742900744,729.4205434607916,3394.7648551306947
prox,rep1,30K,GSM8121291_L46867.h5,1626,1309,18.60835388681539,718.3316799492035,3412.227733502655
prox,rep1,50K,GSM8121292_L46867-1.h5,1986,1657,18.220278419570906,917.2873611033083,4166.04212965564
dist,rep1,30K,GSM8121293_L46868.h5,1916,1556,18.50499202166775,739.254684630476,2956.8177178984133
dist,rep1,50K,GSM8121294_L46868-1.h5,2316,1940,16.632097153281585,907.6309476209537,3793.063507930154
unc,rep2,30K,GSM8121295_L46869.h5,2416,1987,17.56740525741722,654.4260564953838,2754.2464783487208
unc,rep2,50K,GSM8121296_L46869-1.h5,3075,2637,17.17008041028426,760.8044046241082,3578.318651252973
prox,rep2,30K,GSM8121297_L46870.h5,1848,1492,18.702400167793463,738.6645110954737,2993.4516296817546
prox,rep2,50K,GSM8121298_L46870-1.h5,2279,1922,17.488290738471694,911.7925511233339,3621.0248295888873
dist,rep2,30K,GSM8121299_L46871.h5,1968,1631,18.193502787325237,676.2698718629488,2867.7670937901707
dist,rep2,50K,GSM8121300_L46871-1.h5,2555,2160,17.380861455011043,852.0639414126314,3698.7868619578953
unc,rep3,30K,GSM8121301_L46872.h5,2255,1860,20.44621854035138,628.9796045005726,3125.0679849980916
unc,rep3,50K,GSM8121302_L46872-1.h5,2863,2410,19.711203387048847,768.7791571853542,3924.402809382153
prox,rep3,30K,GSM8121303_L46873.h5,1674,1267,21.015036772273593,680.8122850806946,3307.6257163976848
prox,rep3,50K,GSM8121304_L46873-1.h5,2133,1657,20.442300680040034,853.1253218975598,4011.582260341467
dist,rep3,30K,GSM8121305_L46874.h5,3541,2952,16.997942172225493,750.7996424594488,3117.667858468504
dist,rep3,50K,GSM8121306_L46874-1.h5,4324,3662,16.473385607776613,988.3225054961175,3716.924981679608
